year,title,binary,budget,domgross,intgross,totalgross
2010,Megamind,FAIL,130000000,148415853,321887208,470303061
2010,Monsters,FAIL,500000,237301,5639730,5877031
2010,Morning Glory,PASS,40000000,31011732,60040974,91052706
2010,Nanny McPhee and the Big Bang,PASS,35000000,29197642,97799865,126997507
2010,Never Let Me Go,PASS,15000000,2434652,11509512,13944164
2010,Paranormal Activity 2,PASS,3000000,84752907,177512032,262264939
2010,Percy Jackson &amp; the Olympians: The Lightning Thief,FAIL,95000000,88768303,226467130,315235433
2010,Please Give,PASS,3000000,4033574,4570178,8603752
2010,Predators,FAIL,40000000,52000688,127234389,179235077
2010,Prince of Persia: The Sands of Time,FAIL,200000000,90759676,335059676,425819352
2010,Rabbit Hole,PASS,5000000,2229058,5839592,8068650
2010,Ramona and Beezus,PASS,15000000,26167002,27469621,53636623
2010,Red,FAIL,60000000,90380162,196439693,286819855
2010,Remember Me,PASS,16000000,19068240,56506120,75574360
2010,Repo Men,PASS,32000000,13942007,18195238,32137245
2010,Robin Hood,FAIL,210000000,105487148,322459006,427946154
2010,Salt,PASS,130000000,118311368,295713467,414024835
2010,Scott Pilgrim vs. the World,PASS,85000000,31611316,48089760,79701076
2010,Secretariat,PASS,35000000,59699513,60376247,120075760
2010,Sex and the city 2,PASS,95000000,95347692,294680778,390028470
2010,Shrek Forever After,FAIL,165000000,238736787,756244673,994981460
2010,Shutter Island,FAIL,80000000,128012934,296831073,424844007
2010,Skyline,FAIL,10000000,21416355,78693371,100109726
2010,Somewhere,FAIL,7000000,1785645,14385645,16171290
2010,Submarine,FAIL,1900000,467602,4581937,5049539
2010,Super,FAIL,2500000,327716,518362,846078
2010,Takers,FAIL,32000000,57744720,70587268,128331988
2010,Tangled,PASS,260000000,200821936,586581936,787403872
2010,The A-Team,FAIL,110000000,77222099,177241171,254463270
2010,The Back-up Plan,PASS,35000000,37490007,75281179,112771186
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,PASS,155000000,104386950,418186950,522573900
2010,The Conspirator,FAIL,25000000,11538204,15907411,27445615
2010,The Crazies,PASS,19000000,39123589,54956140,94079729
2010,The Debt,PASS,20000000,31177548,46604054,77781602
2010,The Expendables,FAIL,82000000,103068524,268268174,371336698
2010,The Fighter,FAIL,11000000,93617009,129262388,222879397
2010,The Ghost Writer,FAIL,45000000,15541549,65532491,81074040
2010,The Illusionist,FAIL,16500000,39868642,83792062,123660704
2010,The Karate Kid,FAIL,40000000,176591618,359091618,535683236
2010,The Kids Are All Right,PASS,4000000,20811365,36275469,57086834
2010,The Killer Inside Me,FAIL,13000000,217277,3617277,3834554
2010,The King&#39;s Speech,PASS,15000000,138797449,430821166,569618615
2010,The Last Airbender,FAIL,150000000,131772187,319713881,451486068
2010,The Last Exorcism,PASS,1800000,41034350,70165900,111200250
2010,The Losers,FAIL,25000000,23591432,26714018,50305450
2010,The Next Three Days,PASS,30000000,21148651,67255916,88404567
2010,The Other Guys,FAIL,100000000,119219978,170936470,290156448
2010,The Runaways,PASS,9500000,3573673,5278632,8852305
2010,The Social Network,FAIL,40000000,96962694,224922135,321884829
2010,The Sorcerer&#39;s Apprentice,FAIL,160000000,63150991,215150991,278301982
2010,The Spy Next Door,PASS,28000000,24307106,50983364,75290470
2010,The Switch,FAIL,19000000,27758465,49858465,77616930
2010,The Tempest,PASS,20000000,277943,277943,555886
2010,The Tourist,FAIL,100000000,67631157,278731369,346362526
2010,The Town,FAIL,37000000,92186262,152566881,244753143
2010,The Twilight Saga: Eclipse,PASS,68000000,300531751,699590681,1000122432
2010,The Wolfman,FAIL,150000000,62189884,142634358,204824242
2010,Tiny Furniture,PASS,50000,391674,424149,815823
2010,Toy Story 3,FAIL,200000000,415004880,1063759456,1478764336
2010,Tron Legacy,FAIL,200000000,172062763,397562763,569625526
2010,True Grit,PASS,35000000,171243005,252276928,423519933
2010,Tucker and Dale vs Evil,PASS,5000000,223838,5476793,5700631
2010,Unstoppable,FAIL,95000000,81562942,169511609,251074551
2010,Valentine&#39;s Day,PASS,52000000,110485654,217569328,328054982
2010,Wall Street: Money Never Sleeps,FAIL,70000000,52474616,137431619,189906235
2010,Welcome to the Rileys,PASS,10000000,152857,312857,465714
2010,Wild Target,FAIL,8000000,109338,109338,218676
2010,Winter&#39;s Bone,PASS,2000000,6531503,16131552,22663055
2010,Womb,PASS,13000000,N/A,N/A,#VALUE!
